Date Time,Open,High,Low,Close,Volume
2016-11-21,2156.46,2162.37,2147.05,2152.6,8475311.0
2016-11-22,2156.52,2177.65,2146.62,2177.65,11125462.0
2016-11-23,2182.1,2191.26,2163.0,2165.71,15096671.0
2016-11-24,2159.61,2172.18,2142.95,2146.63,10549007.0
2016-11-25,2145.97,2167.53,2123.74,2167.53,13608575.0
2016-11-28,2172.97,2175.51,2159.73,2166.04,11846432.0
2016-11-29,2161.78,2178.19,2153.72,2160.35,14617536.0
2016-11-30,2157.54,2201.55,2155.24,2183.05,17791660.0
2016-12-01,2181.73,2188.09,2175.5,2181.93,12156105.0
2016-12-02,2180.39,2186.69,2143.21,2143.45,13119150.0
2016-12-05,2129.25,2162.3,2124.75,2143.88,10282946.0
2016-12-06,2149.75,2156.69,2121.25,2122.26,9733745.0
2016-12-07,2123.55,2134.99,2116.54,2134.99,8294181.0
2016-12-08,2135.79,2136.26,2114.04,2114.71,9250664.0
2016-12-09,2114.45,2118.63,2097.09,2099.89,10182685.0
2016-12-12,2095.58,2096.4,1981.17,1984.39,16139221.0
2016-12-13,1982.08,1995.35,1961.91,1985.04,9784018.0
2016-12-14,1982.98,1988.46,1958.04,1963.08,8414288.0
2016-12-15,1957.71,1991.32,1956.55,1975.85,8835405.0
2016-12-16,1977.86,2005.28,1972.22,1998.11,7731468.0
